nr;datum;Locatie;Methode;Locatie_VA;Gewicht Glasaal;Gewicht maag-darmstelsel;Anorganic Material;Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoida sp.;Hexapoda sp.;Coleoptera Larvae;Pennate diatom;Plantae sp.;Stomach
253;19/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,293;0,0325;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
254;19/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,303;0,0389;0;0;0;1;0;0;0;0;0;0;1;0;0;6;0;0;0;0;Food present
255;19/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,402;0,0285;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;Food present
256;24/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,201;0,0164;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Food present
257;24/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,208;0,0136;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Food present
258;24/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,259;0,0164;0;4;0;2;0;1;0;0;4;1;0;0;1;0;0;0;0;0;Food present
259;24/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,202;0,022;0;8;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
260;24/05/2017;PG-LI-PA;Eel Ladder;Pumping Station;0,201;0,0127;0;0;0;0;0;0;0;0;3;1;11;0;0;0;0;0;0;0;Food present
261;24/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,148;0,0113;0;4;0;1;0;0;0;0;28;2;0;0;0;0;0;0;0;0;Food present
262;24/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,124;0,0086;0;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Food present
263;24/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,196;0,015;0;2;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;Food present
264;24/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,144;0,0125;0;17;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;Food present
265;24/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,191;0,0087;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;Food present
266;24/05/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,299;0,0305;0;0;0;1;0;0;0;0;6;0;2;0;0;41;0;0;0;1;Food present
267;24/05/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,234;0,0229;1;13;0;4;0;0;0;0;52;2;1;0;12;13;0;0;0;0;Food present
268;24/05/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,159;0,0153;2;0;0;0;0;0;0;0;4;1;0;0;0;30;0;0;0;0;Food present
269;24/05/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,274;0,022;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;Food present
271;24/05/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,256;0,031;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;Food present
271;24/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,336;0,0417;0;0;0;1;0;0;0;0;0;2;0;0;7;31;0;0;0;0;Food present
272;24/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,238;0,028;0;1;0;1;0;0;0;0;7;2;0;0;0;2;0;0;0;0;Food present
273;24/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,219;0,0257;1;0;0;1;0;0;0;0;2;1;2;0;0;126;0;0;0;0;Food present
274;24/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,268;0,026;2;0;0;1;0;0;0;0;1;0;0;0;0;6;0;0;0;0;Food present
275;24/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,311;0,0334;0;0;0;1;1;0;0;0;0;1;0;0;0;15;0;0;0;0;Food present
276;24/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,42;0,0453;0;0;0;3;0;0;0;0;0;0;2;0;0;5;0;0;0;0;Food present
