sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
140,2.959,0.608,23.961,0.771,4.386,0.694,0.410,6.416,16.695,3.675,0.877,0.280,0.661,1.339,0.311,0.182,0.127,2.479,2.406,7.109,2.184,0.342,3.842,17.287
142,1.836,0.511,22.668,0.700,3.176,0.817,0.401,7.200,15.613,3.002,0.880,0.388,0.412,1.365,0.193,0.221,0.177,4.165,2.103,7.547,3.889,0.424,3.290,19.021
143,2.533,0.544,23.379,0.721,3.846,0.754,0.450,6.793,17.400,3.764,0.951,0.281,0.561,1.535,0.218,0.209,0.129,2.987,2.188,6.459,2.636,0.462,4.069,17.130
145,3.695,0.754,24.802,0.878,5.508,0.706,0.521,5.440,18.104,4.076,0.929,0.230,0.573,1.420,0.301,0.175,0.095,2.292,2.334,5.912,1.733,0.581,3.552,15.388
148,1.666,0.519,23.367,0.535,3.686,0.732,0.352,7.716,15.494,3.542,0.840,0.377,0.379,1.226,0.145,0.232,0.182,3.521,1.898,6.369,3.370,0.423,3.293,20.134
149,2.004,0.658,21.909,0.705,3.342,0.826,0.443,7.441,15.875,3.496,1.012,0.348,0.366,1.123,0.182,0.270,0.184,4.576,1.928,6.917,3.241,0.660,3.450,19.044
151,2.614,0.506,24.104,0.644,3.720,0.641,0.425,6.901,18.111,3.534,1.063,0.268,0.660,1.391,0.284,0.204,0.119,2.829,2.569,6.295,2.553,0.430,2.991,17.144
152,1.243,0.465,21.075,0.638,3.009,0.669,0.450,7.976,14.614,3.033,0.846,0.405,0.495,1.170,0.212,0.253,0.234,4.680,2.010,8.637,3.613,0.356,3.556,20.362
153,2.293,0.599,25.430,0.587,3.444,0.725,0.455,7.008,14.924,3.523,0.835,0.270,0.392,1.361,0.129,0.185,0.123,3.511,1.617,5.656,2.296,0.809,3.549,20.280
154,1.335,0.468,21.619,0.569,2.586,0.678,0.295,8.206,15.209,2.665,0.796,0.351,0.461,1.034,0.217,0.249,0.188,4.149,2.021,8.043,3.645,0.675,3.503,21.040
155,3.117,0.738,25.236,0.915,4.807,0.858,0.574,6.547,16.964,3.965,1.072,0.294,0.540,1.266,0.255,0.250,0.123,3.417,1.952,5.599,2.454,0.538,2.837,15.682
156,1.107,0.467,21.524,0.583,2.525,0.747,0.306,7.868,14.930,3.041,0.877,0.381,0.406,1.112,0.155,0.229,0.184,4.736,1.997,7.779,3.997,0.621,3.310,21.117
163,1.098,0.493,21.377,0.578,2.599,0.832,0.442,7.693,14.516,2.828,0.922,0.501,0.270,1.223,0.118,0.278,0.168,6.270,1.500,7.398,5.119,0.595,3.074,20.108
171,1.541,0.442,21.994,0.661,2.999,0.733,0.370,7.753,15.953,3.188,0.945,0.481,0.366,1.448,0.179,0.242,0.189,5.123,1.833,7.743,3.899,0.464,3.087,18.365
175,2.050,0.476,22.884,0.727,3.692,0.674,0.407,6.946,15.848,3.520,0.896,0.289,0.532,1.253,0.211,0.218,0.135,3.793,2.262,6.829,2.781,0.537,3.282,19.759
176,1.889,0.516,22.430,0.665,3.326,0.698,0.370,7.586,17.505,3.316,0.994,0.370,0.578,1.523,0.254,0.241,0.151,3.139,2.160,6.680,2.959,0.646,3.740,18.266
177,1.866,0.444,22.171,0.675,3.655,0.701,0.437,7.614,16.459,3.321,1.012,0.319,0.642,1.168,0.337,0.211,0.141,3.759,2.154,7.638,2.656,0.487,3.119,19.012
178,2.891,0.561,23.620,0.715,3.668,0.739,0.455,6.759,17.460,3.844,0.936,0.318,0.543,1.588,0.233,0.235,0.107,3.012,2.459,6.337,2.224,0.312,3.964,17.021
179,1.274,0.391,22.147,0.633,2.905,0.640,0.365,7.899,15.413,2.929,0.817,0.405,0.403,1.212,0.179,0.218,0.149,4.557,1.832,7.339,3.548,0.352,3.163,21.228
180,1.866,0.454,22.711,0.677,3.502,0.615,0.393,6.905,17.334,3.699,0.913,0.304,0.551,1.489,0.204,0.196,0.125,3.223,2.354,6.819,2.711,0.312,3.406,19.239
181,1.188,0.455,21.479,0.599,2.827,0.768,0.396,8.347,13.405,2.769,0.952,0.425,0.757,1.024,0.213,0.218,0.204,4.571,1.789,7.631,4.099,0.444,3.064,22.376
182,2.263,0.468,23.820,0.832,4.163,0.640,0.388,6.666,19.118,3.856,0.829,0.318,0.467,1.639,0.163,0.169,0.108,2.868,1.862,6.307,2.724,0.306,3.830,16.197
188,1.038,0.525,21.046,0.630,2.774,0.816,0.443,7.618,14.583,2.417,0.853,0.411,0.414,0.839,0.114,0.240,0.264,5.961,1.582,7.208,4.212,0.389,3.020,22.603
189,3.008,0.697,24.977,0.827,4.310,0.772,0.491,7.210,17.478,3.912,0.843,0.293,0.462,1.246,0.214,0.219,0.117,2.831,1.939,6.278,2.112,0.485,3.273,16.007
190,1.687,0.463,23.458,0.670,3.135,0.644,0.386,7.132,16.073,2.845,0.950,0.308,0.487,1.262,0.190,0.210,0.136,3.556,2.188,6.405,2.931,0.355,3.147,21.381
